word,count
*,2772
た,1328
ます,943
です,740
だ,587
美味しい,533
濃厚,353
簡単,343
作る,297
する,280
おいしい,212
チョコ,147
バレンタイン,131
また,126
食べる,118
しっとり,105
できる,102
好評,97
日,80
大,78
とっても,69
冷やす,69
ありがとう,68
ケーキ,68
楽しみ,66
焼く,65
旦那,63
友達,63
明日,63
美味,63
とても,62
レシピ,60
の,59
ない,58
喜ぶ,56
すごい,56
回,54
用,54
出来る,52
ちゃう,51
超,50
ござる,49
笑,49
生,47
誕生,47
目,46
すぎる,46
なる,45
家族,44
くれる,43
型,43
中,42
みる,42
いる,41
お,41
たい,41
味,41
感謝,38
好き,37
決定,36
プレゼント,35
一,35
作れる,35
娘,34
最高,31
本当に,30
初,29
みたい,29
さ,28
素敵,27
何,27
晩,26
めっちゃ,25
うまい,25
てる,25
これ,25
彼,25
絶賛,24
ん,24
もらえる,23
め,23
私,23
彼氏,23
とる,22
り,22
ま,21
大好き,21
外,21
しまう,21
く,20
あげる,20
そう,20
いい,20
たて,19
つくる,18
ホワイト,18
れる,18
すっごい,17
渡す,17
焼ける,17
少し,17
冷蔵庫,17
す,17
さん,17
せる,16
言う,16
度,16
甘い,15
ウマ,15
ちょっと,15
二,15
次,15
練習,15
凄い,15
子供,14
いただく,14
頂く,14
自分,14
味見,14
作り,14
母,14
ぬ,14
よう,14
満足,14
早い,14
絶対,14
寝かせる,14
ある,14
焼き,14
この,14
もう,14
今,14
皆,13
チョコレート,13
ホント,13
みんな,13
クリスマス,13
初めて,13
実は,13
息子,13
倍量,13
持つ,12
もらう,12
これから,12
今日,12
空気抜き,12
穴,12
夫,12
材料,12
丸,12
友人,11
成功,11
たまらない,11
粉,11
良い,11
友,11
綺麗,11
空気,11
我慢,11
過ぎる,11
入れる,11
形,11
主人,11
本,11
混ぜる,11
１,10
今年,10
挑戦,10
分,10
一緒,10
喜び,10
焦げる,10
嬉しい,10
失敗,10
激,10
思う,10
レポ,10
感動,10
カップ,10
生クリーム,10
あっという間に,9
濃い,9
配る,9
砂糖,9
美味い,9
パパ,9
２,9
職場,9
かなり,9
真ん中,9
香り,9
ほんと,9
ずっしり,9
う,9
人,9
のせる,8
いく,8
歳,8
すぐ,8
遅い,8
やっぱり,8
なくなる,8
サクサク,8
入り,8
本格,8
幸せ,8
入る,8
でも,8
店,8
食,8
手土産,8
試作,7
３,7
られる,7
くる,7
後,7
よい,7
苦手,7
こんなに,7
感,7
めちゃくちゃ,7
今回,7
写真,7
うま,7
今度,7
表面,7
足りる,7
しま,7
ずっと,7
上手,7
上がる,7
次回,7
バレンタインデー,7
待てる,7
お菓子,7
妹,7
ラム,6
やる,6
割れる,6
本当,6
行く,6
すぎ,6
ぽい,6
見た目,6
添える,6
お気に入り,6
家,6
倍,6
様,6
感激,6
やつ,6
びっくり,6
ビックリ,6
的,6
ブラック,6
バター,6
冷える,6
度目,6
おく,6
個,6
乗せる,6
冷める,6
前,6
切る,6
記念,6
買う,5
とき,5
差し入れ,5
楽しむ,5
アーモンド,5
枚,5
方,5
ありがと,5
ちゃんと,5
しかも,5
つくれる,5
サク,5
半量,5
出来上がる,5
ミルク,5
しっかり,5
止まる,5
弟,5
翌日,5
冷す,5
出す,5
褒める,5
好み,5
匂い,5
手,5
あまり,5
結婚,5
さま,5
そ,5
豆乳,5
あと,5
ほんとに,5
控えめ,5
ごちそうさま,5
出来,5
薄い,5
更に,5
リクエスト,5
大量,5
つまみ食い,5
凹む,5
クルミ,5
残り,5
膨らむ,5
忘れる,5
下,4
確定,4
上がり,4
やばい,4
父,4
あ,4
来る,4
ナッツ,4
プレ,4
やすい,4
置く,4
再,4
けど,4
即,4
高い,4
かける,4
糖,4
ご,4
見る,4
牛乳,4
達,4
こんな,4
感じ,4
いつ,4
助かる,4
ホール,4
頑張る,4
板,4
気に入る,4
たまる,4
大きい,4
初心者,4
バースデー,4
クッキー,4
切れ,4
完,4
連続,4
旨い,4
生産,4
上,4
まだ,4
わかる,4
定番,4
帰る,4
チャレンジ,4
寝かす,4
レーズン,4
よく,4
時間,4
本命,4
わたし,4
年,4
なぜ,3
あがる,3
待つ,3
たつ,3
一段と,3
通り,3
まぁ,3
マーガリン,3
分離,3
すいません,3
姪,3
ミニサイズ,3
求める,3
学校,3
ダンナ,3
昼寝,3
くるみ,3
義母,3
ぎっしり,3
部屋,3
スクエア,3
手軽,3
っ子,3
三,3
コーヒー,3
昨日,3
立て,3
途中,3
ご馳走様,3
両親,3
オーブン,3
時,3
デコレーション,3
お世話,3
敷く,3
量,3
試食,3
全部,3
楽しい,3
半分,3
ママ,3
作り方,3
きれい,3
お祝い,3
空く,3
上手い,3
土産,3
楽,3
使う,3
さらに,3
カット,3
めちゃめちゃ,3
大人,3
くん,3
ハート,3
卵,3
沢山,3
カリカリ,3
今晩,3
たのしむ,3
早速,3
一番,3
さっぱり,3
じゃう,3
旨,3
才,3
反応,3
まくる,3
持参,3
出る,3
たべる,3
ため,3
酒,3
ちゃん,3
ちょ,3
評判,3
載せる,3
たくさん,3
カリッ,3
うち,3
周り,3
湯煎,3
汚い,3
先輩,3
いつも,2
リッチ,2
本番,2
ど,2
ラスト,2
試す,2
変える,2
事,2
さる,2
両方,2
小さめ,2
きれる,2
開く,2
種類,2
クラス,2
トライ,2
味わい,2
応え,2
父親,2
とまる,2
もつ,2
物,2
甘党,2
いっぱい,2
五,2
デー,2
少なめ,2
うれしい,2
手前,2
作,2
る,2
アレンジ,2
発表,2
くさい,2
加減,2
会,2
亀裂,2
器,2
カリ,2
どう,2
済み,2
毎回,2
バク,2
妻,2
会社,2
人気,2
こってり,2
部活,2
合う,2
義父,2
ご馳走,2
させる,2
大切,2
祝い,2
手順,2
かな,2
貰える,2
もの,2
追加,2
冷蔵,2
無し,2
人生,2
不器用,2
下さる,2
ちる,2
ごく,2
ダーク,2
完成,2
去年,2
虜,2
病みつき,2
や,2
断面,2
化粧,2
空洞,2
ぐっと,2
涙,2
こと,2
増す,2
ハロウィン,2
教える,2
贅沢,2
ひび割れる,2
はまる,2
宅,2
大人気,2
トッピング,2
風,2
投稿,2
先,2
お返し,2
み,2
しった,2
ゆく,2
小さい,2
くださる,2
したう,2
どれ,2
つ,2
分ける,2
アイス,2
出せる,2
すみません,2
口,2
ブレンド,2
イチゴ,2
気,2
間違い,2
４,2
丸い,2
そして,2
落ちる,2
崩れる,2
ぎゅっと,2
試合,2
最近,2
子ども,2
とろける,2
料理,2
炊飯,2
もっと,2
サマ,2
いちご,2
私的,2
悪い,2
プレート,2
多い,2
固める,2
割れ,2
こ,2
一つ,2
牛乳パック,2
極める,2
おかげ,2
久々,2
余る,2
バナナ,2
抜く,2
いびつ,2
抹茶,2
週末,2
位,2
決める,2
状,2
愛する,2
大学生,2
かい,2
夜中,2
キレイ,2
見える,2
必ず,2
朝,2
ゆ,2
ビター,2
高校生,2
焼き立て,2
パーティー,2
ぴったり,2
探す,1
がたい,1
出会える,1
つい,1
チョー,1
火加減,1
加える,1
作業,1
増える,1
作成,1
直前,1
少ない,1
全員,1
油,1
絶品,1
ごたえ,1
夫婦,1
普通,1
味わう,1
疲れ,1
正解,1
保つ,1
もうまい,1
硬い,1
台,1
褒美,1
マーブル,1
図,1
爆発,1
間違う,1
オシャレ,1
ところ,1
有り難い,1
ごめんなさい,1
いかる,1
靴,1
ヨーグルト,1
なつ,1
逆,1
０,1
サークル,1
ガン,1
わるい,1
裏側,1
５,1
フルーツ,1
相変わらず,1
歪,1
好物,1
応援,1
一昨日,1
ほん,1
もってこい,1
知人,1
じっと,1
うーん,1
満,1
やってくる,1
短い,1
気軽,1
ら,1
目指す,1
汗,1
母親,1
きゃあ,1
脱帽,1
込む,1
パッ,1
バニラ,1
ぱくぱく,1
久しぶり,1
感じる,1
購入,1
抜き,1
陥没,1
またす,1
抜ける,1
観,1
だらけ,1
左側,1
それぞれ,1
スリム,1
あきる,1
ほんの,1
来年,1
がけ,1
大さじ,1
控え目,1
ふっとぶ,1
十分,1
ビスケット,1
っぽい,1
くり,1
贈り物,1
疲れる,1
ストライク,1
後輩,1
込める,1
合格,1
花見,1
出産,1
季節,1
べし,1
自家用,1
まつ,1
外側,1
栗,1
有難い,1
皮,1
てい,1
リ,1
カロリー,1
結構,1
しつこい,1
なかなか,1
十,1
可愛い,1
甘美,1
注意,1
甲斐,1
変形,1
まま,1
ねっとり,1
またまた,1
いける,1
夜食,1
気分,1
尚,1
義理,1
馴染む,1
ひとり,1
苺,1
プロ,1
お裾分け,1
何故か,1
ステキ,1
為,1
むくむく,1
プラス,1
感想,1
違い,1
アメリカ,1
てん,1
入れ忘れる,1
まさに,1
嫌い,1
均,1
常備,1
おもてなし,1
柔らか,1
つまむ,1
ぜったい,1
回り,1
ぜひ,1
パウダー,1
かむ,1
画像,1
期待,1
ちっちゃい,1
笑顔,1
におい,1
たま,1
だす,1
くるむ,1
後で,1
つくす,1
あざ,1
紙,1
工程,1
手作り,1
一言,1
エア,1
とく,1
遅れる,1
まっ,1
かぼちゃ,1
深める,1
はしる,1
並み,1
うえ,1
誤魔化す,1
螢,1
ひとくち,1
出張,1
日頃,1
ウィーン,1
ちぢむ,1
やっと,1
味わえる,1
１つ,1
グラム,1
先日,1
実家,1
皆様,1
端っこ,1
勢い,1
左,1
忙しい,1
まろやか,1
だいぶ,1
ふっくら,1
一気に,1
ローソン,1
ひび,1
利用,1
中央,1
幼稚園,1
あま,1
午後,1
ぬき,1
君,1
番,1
堪る,1
中心,1
義,1
計れる,1
切れる,1
いう,1
スライス,1
一足,1
調節,1
切り分ける,1
先週,1
アドバイス,1
ヒット,1
ぢ,1
キロ,1
塩,1
こむ,1
無性,1
揃える,1
得,1
立て続け,1
装飾,1
難なく,1
モロ,1
どっち,1
ラズベリー,1
キャラメル,1
柚子,1
ジャム,1
チェリー,1
かわり,1
引き立つ,1
コーラス,1
吠える,1
最後,1
カンタン,1
取り出せる,1
熟れる,1
殆ど,1
太る,1
切れ端,1
到来,1
離,1
派,1
いつの間にか,1
閃く,1
ふる,1
日持ち,1
ほんま,1
ぬく,1
おい,1
ちゃ,1
初節句,1
お客,1
熱々,1
こりゃ,1
選ぶ,1
ため息,1
まぜる,1
海外,1
ボリューム,1
ホーム,1
戴く,1
イチジク,1
くどい,1
割,1
コツ,1
あっさり,1
同じ,1
実父,1
うっとり,1
おおきい,1
焦げ,1
昨年,1
こいつ,1
日用,1
ついに,1
衝動,1
厚,1
遅れ,1
三拍子,1
なんで,1
なん,1
意外と,1
切らす,1
スグ,1
望む,1
ふわふわ,1
計り,1
皆んな,1
茶菓子,1
追,1
過,1
濃縮,1
内緒,1
完璧,1
渡せる,1
元旦,1
近々,1
越し,1
気付く,1
さすが,1
へこむ,1
恋しい,1
サラダ油,1
男,1
性,1
改善,1
チン,1
本日,1
タマ,1
高,1
確実,1
仕上がり,1
遠距離,1
アルミホイル,1
覚える,1
おすそ分け,1
大喜,1
休日,1
リキュール,1
何で,1
所,1
香ばしい,1
砕く,1
無,1
減らす,1
たのしい,1
イン,1
とこ,1
ずぼら,1
わぁ,1
足,1
焼,1
恐る,1
ピーナッツ,1
片思い,1
ぺろり,1
毎,1
惚れる,1
冷たい,1
無事,1
売る,1
冷ます,1
カバー,1
振るう,1
仕方,1
ココア,1
もう少し,1
帰宅,1
仕上がる,1
替える,1
たち,1
厳しい,1
仕事,1
ショコラ,1
オイル,1
トロ,1
どっしり,1
ちゃっかり,1
こい,1
あう,1
さい,1
すう,1
何とか,1
レベル,1
ぶきっちょ,1
シリコン,1
いま,1
離れる,1
水,1
オレンジ,1
下手,1
今夜,1
こども,1
パ,1
タイトル,1
姉ちゃん,1
